По дням,Количество заказ-нарядов,Работ,Запчастей,Всего по заказ-наряду
2020-01-04 00:00:00,1.0,3540.0,10019.12,13559.12
2020-01-05 00:00:00,6.0,46340.0,306811.1811548288,46340.0
2020-01-08 00:00:00,5.0,19570.0,54232.27,73802.27
2020-01-09 00:00:00,5.0,44630.0,35011.37,79641.37
2020-01-10 00:00:00,4.0,4150.0,306811.1811548288,4150.0
2020-01-12 00:00:00,1.0,164769.9920625611,306811.1811548288,458235.0367937439
2020-01-13 00:00:00,6.0,89750.0,9798.6,99548.6
2020-01-14 00:00:00,2.0,58300.0,44051.63,102351.63
2020-01-15 00:00:00,7.0,53690.0,44402.02,98092.02
2020-01-16 00:00:00,10.0,164244.0,137163.82,301407.82
2020-01-18 00:00:00,10.0,161820.0,579.2,162399.2
2020-01-19 00:00:00,2.0,18340.0,306811.1811548288,18340.0
2020-01-20 00:00:00,1.0,6000.0,306811.1811548288,6000.0
2020-01-21 00:00:00,3.0,36440.0,59872.0,96312.0
2020-01-22 00:00:00,6.0,27750.0,31600.0,59350.0
2020-01-23 00:00:00,4.0,50550.0,19930.0,70480.0
2020-01-24 00:00:00,8.0,99010.0,23028.8,122038.8
2020-01-25 00:00:00,4.0,52600.0,11147.02,63747.02
2020-01-26 00:00:00,1.0,13600.0,648.2,14248.2
2020-01-27 00:00:00,9.0,63550.0,164484.3,228034.3
2020-01-28 00:00:00,3.0,14700.0,419.82,15119.82
2020-01-29 00:00:00,2.0,16050.0,4241.62,20291.62
2020-01-30 00:00:00,6.0,9240.0,64922.89,74162.89
2020-01-31 00:00:00,5.0,36950.0,61607.54,98557.54
2020-02-03 00:00:00,2.0,12350.0,306811.1811548288,12350.0
2020-02-04 00:00:00,4.0,58940.0,32526.23,91466.23
2020-02-05 00:00:00,2.0,12300.0,306811.1811548288,12300.0
2020-02-06 00:00:00,4.0,16120.0,420.0,16540.0
2020-02-07 00:00:00,3.0,19000.0,79695.01,98695.01
